City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,kerikeri,-35.2268,173.9474,22.73,81,94,2.7,NZ,1709005863
297,cuenca,-2.8833,-78.9833,15.07,88,75,3.09,EC,1709005203
298,sunrise manor,36.2111,-115.0731,19.73,31,0,12.07,US,1709005736
299,barcelona,41.3888,2.159,10.3,73,20,4.12,ES,1709005820
300,kayyerkan,69.3786,87.7439,-10.39,92,100,6.74,RU,1709005864
301,maloye ganyushkino,46.6,49.2667,-5.62,55,0,4.16,KZ,1709005864
302,ajaccio,42.0,8.9167,10.03,93,100,2.57,FR,1709005590
303,vic-en-bigorre,43.3833,0.05,5.1,97,100,4.0,FR,1709005865
304,nemuro,43.3236,145.575,-1.72,77,100,11.74,JP,1709005865
305,shahrak,34.1074,64.3052,-2.51,93,78,2.17,AF,1709005865
306,east london,-33.0153,27.9116,16.52,72,100,2.57,ZA,1709005865
307,puerto colombia,10.9878,-74.9547,27.05,83,100,12.31,CO,1709005865
308,tazovsky,67.4667,78.7,-7.51,95,100,4.03,RU,1709005866
309,pierre,44.3683,-100.351,11.51,43,0,5.14,US,1709005844
310,constitucion,-35.3333,-72.4167,14.45,80,0,5.56,CL,1709005866
311,hadibu,12.65,54.0333,24.94,71,99,2.39,YE,1709005866
312,ishqoshim,36.7248,71.6133,-7.41,68,73,1.25,TJ,1709005866
313,terbanggi besar,-4.8667,105.2333,30.68,67,79,5.29,ID,1709005866
314,waingapu,-9.6567,120.2641,30.84,68,19,2.67,ID,1709005866
315,tarawa,1.419,172.984,32.05,74,40,4.12,KI,1709005867
316,la sarre,48.8002,-79.1996,-6.13,94,100,4.14,CA,1709005867
317,sao joao da barra,-21.6403,-41.0511,22.61,86,60,1.83,BR,1709005867
318,kone,-21.0595,164.8658,30.1,61,75,4.5,NC,1709005867
319,vila velha,-20.3297,-40.2925,23.86,96,40,1.03,BR,1709005868
320,an nabk,34.0255,36.7284,3.65,61,56,1.64,SY,1709005868
321,sena madureira,-9.0656,-68.6569,22.27,99,100,0.31,BR,1709005868
322,rouissat,31.9243,5.3502,15.04,25,100,6.17,DZ,1709005868
323,hancheng,32.5186,112.3522,6.99,52,36,2.29,CN,1709005868
324,tippi,7.2,35.45,22.44,51,90,1.33,ET,1709005868
325,nuuk,64.1835,-51.7216,-5.66,79,100,10.8,GL,1709005868
326,alesund,62.4723,6.1549,4.51,60,100,6.17,NO,1709005869
327,bodaybo,57.8506,114.1933,-23.31,93,97,0.26,RU,1709005869
328,ephraim,39.3597,-111.5863,6.39,63,97,8.9,US,1709005752
329,theunissen,-28.411,26.7011,12.32,91,0,4.09,ZA,1709005869
330,macusani,-14.0833,-70.4333,2.99,98,99,1.95,PE,1709005869
331,maridi,4.9158,29.4742,22.83,76,97,2.74,SS,1709005869
332,koryazhma,61.3143,47.1691,-0.05,96,100,4.35,RU,1709005869
333,el calafate,-50.3408,-72.2768,13.24,72,100,1.47,AR,1709005614
334,hastings,50.8552,0.5729,5.07,91,63,7.33,GB,1709005870
335,thinadhoo,0.5333,72.9333,28.17,78,100,5.58,MV,1709005870
336,sur,22.5667,59.5289,23.5,73,47,4.09,OM,1709005870
337,dalandzadgad,43.5708,104.425,-9.99,60,12,3.31,MN,1709005870
